network_name,price_past,lr,test_mse_loss,test_mae,test_mape
RNN,15,3.538461538461538e-06,3193725.9876515013,1454.7538753313545,0.08416268961607581
RNN,15,6.076923076923077e-06,2891143.264890536,1386.6581599555705,0.08016979708191643
RNN,15,8.615384615384615e-06,2999338.0591788706,1416.634258967574,0.08176274062899301
RNN,15,1.1153846153846154e-05,2627937.0159960235,1334.034996698122,0.07686437619961309
RNN,15,1.3692307692307692e-05,2230338.8206143943,1218.0413007474144,0.07041596596503659
RNN,15,1.623076923076923e-05,2424745.256816686,1289.0607084686753,0.0740827258588388
RNN,15,1.876923076923077e-05,2326567.7137665562,1270.7660785706953,0.07290102622019441
RNN,15,2.1307692307692308e-05,1667502.6308809598,1074.8482569759465,0.06138229340547417
RNN,15,2.3846153846153846e-05,2487693.1086265356,1329.863047610047,0.07597378552101303
RNN,15,2.6384615384615384e-05,1808021.4661575006,1115.9976570375504,0.06390128684190648
RNN,15,2.8923076923076925e-05,2367003.7351495703,1287.3146618258568,0.07371207746802835
RNN,15,3.146153846153846e-05,2026800.7789806882,1194.232264073234,0.06819499811695014
RNN,15,3.4e-05,1910232.480019117,1189.7760911073308,0.06725754350281389
RNN,15,3.653846153846154e-05,1688333.752268145,1105.1131823686717,0.06279246580092683
RNN,15,3.9076923076923075e-05,1776453.650540843,1157.1618895901004,0.06519816895382725
RNN,15,4.161538461538461e-05,1759821.880425639,1143.4457936349593,0.06462242786971165
RNN,15,4.415384615384615e-05,1618619.9486190449,1088.6297633673555,0.0615946740663656
RNN,15,4.669230769230769e-05,1919006.4497817026,1188.167370940907,0.06726117443133106
RNN,15,4.9230769230769225e-05,1615406.4184306338,1115.8242769412243,0.062471727598452965
RNN,15,5.176923076923076e-05,1460388.0989970546,1059.4065510192652,0.05931945367584955
RNN,15,5.430769230769231e-05,1870630.1245916404,1203.6069704919448,0.06737787115027107
RNN,15,5.6846153846153845e-05,1532677.8899267053,1095.8654230954114,0.06109987487187531
RNN,15,5.938461538461538e-05,1400101.5735612912,1034.9473004813974,0.057907693776254196
